TimeSGT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC

12:00 AM,25.0,24.0,94,1013,5.0,North,7.4,-,N/A,,Mostly Cloudy,360,2013-12-31 16:00:00
12:30 AM,25.0,24.0,94,1012,6.0,North,9.3,-,N/A,,Mostly Cloudy,10,2013-12-31 16:30:00
1:00 AM,25.0,24.0,94,1012,6.0,North,9.3,-,N/A,,Mostly Cloudy,10,2013-12-31 17:00:00
1:30 AM,25.0,24.0,94,1012,6.0,North,9.3,-,N/A,,Mostly Cloudy,10,2013-12-31 17:30:00
2:00 AM,25,24,89,1012,6,North,9.3,,,,Mist,10,2013-12-31 18:00:00
2:00 AM,25.0,24.0,94,1011,6.0,North,9.3,-,N/A,,Mostly Cloudy,10,2013-12-31 18:00:00
2:30 AM,25.0,24.0,94,1011,6.0,North,7.4,-,N/A,,Mostly Cloudy,10,2013-12-31 18:30:00
3:00 AM,25.0,24.0,94,1011,6.0,North,7.4,-,N/A,,Mostly Cloudy,360,2013-12-31 19:00:00
3:30 AM,25.0,24.0,94,1011,5.0,North,5.6,-,N/A,,Mostly Cloudy,360,2013-12-31 19:30:00
4:00 AM,25.0,24.0,94,1011,5.0,North,5.6,-,N/A,,Mostly Cloudy,350,2013-12-31 20:00:00
4:30 AM,25.0,24.0,94,1011,5.0,North,5.6,-,N/A,,Mostly Cloudy,350,2013-12-31 20:30:00
5:00 AM,25,24,93,1011,5,North,7.4,,,,Mist,0,2013-12-31 21:00:00
5:00 AM,25.0,24.0,94,1010,5.0,North,7.4,-,N/A,,Mostly Cloudy,360,2013-12-31 21:00:00
5:30 AM,25.0,24.0,94,1010,5.0,North,7.4,-,N/A,,Mostly Cloudy,360,2013-12-31 21:30:00
6:00 AM,25.0,24.0,94,1010,5.0,North,7.4,-,N/A,,Mostly Cloudy,10,2013-12-31 22:00:00
6:30 AM,25.0,24.0,94,1011,5.0,NNW,5.6,-,N/A,,Mostly Cloudy,340,2013-12-31 22:30:00
7:00 AM,25.0,24.0,94,1011,4.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2013-12-31 23:00:00
7:30 AM,25.0,24.0,94,1011,4.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2013-12-31 23:30:00
8:00 AM,25,24,94,1012,4.0,NNW,5.6,,,,Mist,340,2014-01-01 00:00:00
