TimeSGT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC

12:00 AM,26.0,24.0,89,1011,10.0,Variable,1.9,-,N/A,,Mostly Cloudy,0,2016-06-01 16:00:00
12:30 AM,27.0,24.0,84,1011,-9999.0,NW,1.9,-,N/A,,Clear,310,2016-06-01 16:30:00
1:00 AM,27.0,24.0,84,1011,-9999.0,Variable,3.7,-,N/A,,Clear,0,2016-06-01 17:00:00
1:30 AM,27.0,24.0,84,1011,-9999.0,Variable,1.9,-,N/A,,Clear,0,2016-06-01 17:30:00
2:00 AM,27,24,79,1011,14,SW,1.9,,,,Haze,220,2016-06-01 18:00:00
2:00 AM,27.0,24.0,84,1010,-9999.0,Variable,1.9,-,N/A,,Clear,0,2016-06-01 18:00:00
2:30 AM,27.0,24.0,84,1010,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-06-01 18:30:00
3:00 AM,27.0,24.0,84,1010,10.0,Variable,1.9,-,N/A,,Mostly Cloudy,0,2016-06-01 19:00:00
3:30 AM,27.0,24.0,84,1009,10.0,Variable,1.9,-,N/A,,Mostly Cloudy,0,2016-06-01 19:30:00
4:00 AM,27.0,24.0,84,1009,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-06-01 20:00:00
4:30 AM,27.0,25.0,89,1009,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-06-01 20:30:00
5:00 AM,27,25,82,1010,10,SW,1.9,,,Rain,Light Rain Showers,230,2016-06-01 21:00:00
5:00 AM,27.0,25.0,89,1009,10.0,Variable,1.9,-,N/A,Rain,Light Rain Showers,0,2016-06-01 21:00:00
5:30 AM,27.0,25.0,89,1009,10.0,Variable,3.7,-,N/A,,Scattered Clouds,0,2016-06-01 21:30:00
6:00 AM,27.0,25.0,89,1010,8.0,Variable,1.9,-,N/A,,Mostly Cloudy,0,2016-06-01 22:00:00
6:30 AM,27.0,25.0,89,1010,6.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-06-01 22:30:00
7:00 AM,26.0,25.0,94,1010,4.0,NW,3.7,-,N/A,,Haze,320,2016-06-01 23:00:00
7:30 AM,27.0,25.0,89,1010,4.0,North,3.7,-,N/A,,Haze,350,2016-06-01 23:30:00
8:00 AM,28,26,89,1011,3.5,NNW,3.7,,,,Haze,340,2016-06-02 00:00:00
8:00 AM,28.0,26.0,89,1011,3.5,Variable,3.7,-,N/A,,Haze,0,2016-06-02 00:00:00
8:30 AM,28.0,26.0,89,1011,3.5,Variable,3.7,-,N/A,,Haze,0,2016-06-02 00:30:00
