TimeSGT,TemperatureC,Dew PointC,Humidity,Sea Level PressurehPa,VisibilityKm,Wind Direction,Wind SpeedKm/h,Gust SpeedKm/h,Precipitationmm,Events,Conditions,WindDirDegrees,DateUTC

12:00 AM,28.0,25.0,84,1012,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 16:00:00
12:30 AM,29.0,25.0,79,1012,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 16:30:00
1:00 AM,29.0,25.0,79,1012,10.0,Variable,1.9,-,N/A,,Mostly Cloudy,0,2016-05-31 17:00:00
1:30 AM,28.0,25.0,84,1012,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 17:30:00
2:00 AM,28,25,78,1012,10,ENE,5.6,,,,Haze,60,2016-05-31 18:00:00
2:00 AM,29.0,25.0,79,1011,10.0,ENE,5.6,-,N/A,,Mostly Cloudy,60,2016-05-31 18:00:00
2:30 AM,28.0,25.0,84,1011,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 18:30:00
3:00 AM,28.0,25.0,84,1011,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 19:00:00
3:30 AM,28.0,26.0,89,1011,10.0,Variable,1.9,-,N/A,,Mostly Cloudy,0,2016-05-31 19:30:00
4:00 AM,28.0,26.0,89,1010,10.0,North,3.7,-,N/A,,Mostly Cloudy,10,2016-05-31 20:00:00
4:30 AM,28.0,26.0,89,1010,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 20:30:00
5:00 AM,28,26,88,1011,10,North,3.7,,,,Haze,10,2016-05-31 21:00:00
5:00 AM,28.0,26.0,89,1010,10.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 21:00:00
5:30 AM,28.0,26.0,89,1010,7.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 21:30:00
6:00 AM,28.0,26.0,89,1011,7.0,Variable,3.7,-,N/A,,Mostly Cloudy,0,2016-05-31 22:00:00
