Date, Irradiance Value
22 Dec 2016 10:25, 720.0
22 Dec 2016 10:26, 771.764705882
22 Dec 2016 10:27, 790.588235294
22 Dec 2016 10:28, 795.294117647
22 Dec 2016 10:29, 790.588235294
22 Dec 2016 10:30, 654.117647059
22 Dec 2016 10:31, 625.882352941
22 Dec 2016 10:32, 672.941176471
22 Dec 2016 10:33, 649.411764706
22 Dec 2016 10:34, 752.941176471
22 Dec 2016 10:35, 847.058823529
22 Dec 2016 10:36, 804.705882353
22 Dec 2016 10:37, 498.823529412
22 Dec 2016 10:38, 663.529411765
22 Dec 2016 10:39, 522.352941176
22 Dec 2016 10:40, 531.764705882
22 Dec 2016 10:41, 898.823529412
22 Dec 2016 10:42, 541.176470588
22 Dec 2016 10:43, 955.294117647
22 Dec 2016 10:44, 945.882352941
22 Dec 2016 10:45, 922.352941176
22 Dec 2016 10:46, 912.941176471
22 Dec 2016 10:47, 955.294117647
22 Dec 2016 10:48, 432.941176471
22 Dec 2016 10:49, 409.411764706
22 Dec 2016 10:50, 800.0
22 Dec 2016 10:51, 795.294117647
22 Dec 2016 10:52, 776.470588235
22 Dec 2016 10:53, 696.470588235
22 Dec 2016 10:54, 578.823529412
22 Dec 2016 10:55, 583.529411765
22 Dec 2016 10:56, 578.823529412
22 Dec 2016 10:57, 663.529411765
22 Dec 2016 10:58, 701.176470588
22 Dec 2016 10:59, 668.235294118
22 Dec 2016 11:00, 621.176470588
